identifier,author,name,genre,text,url,ipfsHash,type,usageInfo,txHash,iscnId
26,王維,桃源行,樂府,漁舟逐水愛山春，兩岸桃花夾古津。坐看紅樹不知遠，行盡青溪忽值人。山口潛行始隈隩，山開曠望旋平陸。遙看一處攢雲樹，近入千家散花竹。樵客初傳漢姓名，居人未改秦衣服。居人共住武陵源，還從物外起田園。月明松下房櫳靜，日出雲中雞犬喧。驚聞俗客爭來集，競引還家問都邑。平明閭巷掃花開，薄暮漁樵乘水入。初因避地去人間，更問神仙遂不還。峽裡誰知有人事，世中遙望空雲山。不疑靈境難聞見，塵心未盡思鄉縣。出洞無論隔山水，辭家終擬長游衍。自謂經過舊不迷，安知峰壑今來變。當時只記入山深，青溪幾度到雲林。春來遍是桃花水，不辨仙源何處尋。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000026,QmYde1gHLnQyy64FJJs9mYJDnrje1t8PGykaFhWv5L3XEo,CreativeWork,No Rights Reserved,25ED98F3842CF7461C3E3E3A6CD88E29A3BF4873A1C76EE26C5AFCD375AD1900,iscn://likecoin-chain/vu8x4xLZBJypbVyKIwTXzIXcSYyTAZLre3k0il11Znc/1
27,王維,輞川閒居贈裴秀才迪,五言律詩,寒山轉蒼翠，秋水日潺湲。倚杖柴門外，臨風聽暮蟬。渡頭餘落日，墟里上孤煙。復值接輿醉，狂歌五柳前。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000027,QmVUNpsuagGF9X3ndyj97j8fDfWbeqwPRMSpueTdhqnWLE,CreativeWork,No Rights Reserved,2A225CA915F951FC98ED1782A99AE2804821D24520E3DCE79464B24697A24F96,iscn://likecoin-chain/uSR7eJ3qwme5N2lvkS5ulTsdbFUtD9CQi3nqURhiJ7Y/1
28,王維,山居秋暝,五言律詩,空山新雨後，天氣晚來秋。明月松間照，清泉石上流。竹喧歸浣女，蓮動下漁舟。隨意春芳歇，王孫自可留。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000028,QmeBx4wnnsaNxMJD49MRWwbsCskkBG3MURCkt53qx3Y5tU,CreativeWork,No Rights Reserved,87F7E39E311408061EE4C7C3D449CE00B0D42114328A5DCD23C1D68BAE85DC46,iscn://likecoin-chain/Y9-OdRjN7IQeTMlIs4UAZPfbSkaGjWt1-0L52Q8WQis/1
29,王維,歸嵩山作,五言律詩,清川帶長薄，車馬去閒閒。流水如有意，暮禽相與還。荒城臨古渡，落日滿秋山。迢遞嵩高下，歸來且閉關。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000029,QmRKrEbFjmNtFhS25euRb8j25pwbm5y82izpb6NbneRuPS,CreativeWork,No Rights Reserved,5A4DE5022DD9626A97C92F2E33304C70C33C7F4A26298E6D8BFBC932BCA4B420,iscn://likecoin-chain/04xrIu7FzrwO-MaCHVE6RuApE7Kz4fW5YkctdZ8eT4E/1
30,王維,終南山,五言律詩,太乙近天都，連山到海隅。白雲迴望合，青靄入看無。分野中峰變，陰晴眾壑殊。欲投人處宿，隔水問樵夫。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000030,Qma1msx8YUPwjvgeM2xXnsbuTG1V9Wi2NVLwXuQMGFCQka,CreativeWork,No Rights Reserved,EEFF4E4DD200FCD5E5C5A76687C2C19993A127F76A30A1D00F96C4773A0D8BF9,iscn://likecoin-chain/1yfRTZdczUl26I0r5q30G-evofOp5BcfMSaSSTXPupU/1
31,王維,酬張少府,五言律詩,晚年惟好靜，萬事不關心。自顧無長策，空知返舊林。松風吹解帶，山月照彈琴。君問窮通理，漁歌入浦深。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000031,QmXyBzEAX3M9X6vgLPcz4pSbqfMZq5iAjFDQRkcSxHnfge,CreativeWork,No Rights Reserved,593F949FB2A1C2AA7C2887D0E327980E14564F6874EA9DAC879EDA02DD481F11,iscn://likecoin-chain/ne1kP-mnIYYaE9r5UspRo8rmG55HXfPUT_cF--lW3bI/1
32,王維,過香積寺,五言律詩,不知香積寺，數里入雲峰。古木無人徑，深山何處鐘。泉聲咽危石，日色冷青松。薄暮空潭曲，安禪制毒龍。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000032,QmWkJ4XYZnTYBFJh9TtU1yR8sk6GGTAkqFGVT6JybQNN9X,CreativeWork,No Rights Reserved,01EC46D681B66719E084AE327E1F55D41223B4057745882192BF616FB2E5F01C,iscn://likecoin-chain/O2kxE17GTilyBLUpuk4w-ssBGQ-6iWpHEt7O0xLvdVA/1
33,王維,送梓州李使君,五言律詩,萬壑樹參天，千山響杜鵑。山中一夜雨，樹杪百重泉。漢女輸橦布，巴人訟芋田，文翁翻教授，不敢倚先賢。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000033,QmcKC9JAr6oTkGNh8fT37eLtGstqfWmiWW36STHU8xpUFw,CreativeWork,No Rights Reserved,9EC562A76436408D18B80C23E42DA6F8F73CD754395528D271576CD6962CB8E8,iscn://likecoin-chain/_YOkM3YNFmjZnRCMEVEl-oBucLGE5wIkLKrN7bkrrFo/1
34,王維,漢江臨眺,五言律詩,楚塞三湘接，荊門九派通。江流天地外，山色有無中。郡邑浮前浦，波瀾動遠空。襄陽好風日，留醉與山翁。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000034,Qmd8iMKQ9UvdkFRvVCJzpqPPvXqdd1cqKrn89qZ64SPrRY,CreativeWork,No Rights Reserved,071B47E1AC25418F011490A7362166CCDEEE5324F479CFE76D9F4467EEE69509,iscn://likecoin-chain/8xGfle43xNuf71522m2isPnf1Nhf59c7sHuuFNtMa3w/1
35,王維,終南別業,五言律詩,中歲頗好道，晚家南山陲。興來每獨往，勝事空自知。行到水窮處，坐看雲起時。偶然值林叟，談笑無還期。,http://cls.lib.ntu.edu.tw/300/bin/ti_brow.asp?auid=000007&id=00000035,QmcSCETydJM3yZ4vjqJdbgAfe26nLkLZt7Du6PETxdwEHx,CreativeWork,No Rights Reserved,D0BAF342226195F9B22EC72A63CC454C87010040DBAAC29F64443C7526D261C2,iscn://likecoin-chain/5fezn31mKSipUwUwdxYBASYfnZ10Ma3aoiWLuh4A1W0/1
